     5.830394819, 1181, , cache-misses, 99985611, 100.00, 0.001, of all cache refs
     5.830394819, 97348457, , cache-references, 99985611, 100.00, , 
     5.830394819, 103995753, , ldst_spec, 99985611, 100.00, , 
     5.930553298, 1337, , cache-misses, 99985353, 100.00, 0.001, of all cache refs
     5.930553298, 97152375, , cache-references, 99985353, 100.00, , 
     5.930553298, 103978853, , ldst_spec, 99985353, 100.00, , 
     6.030709612, 1199, , cache-misses, 99981480, 100.00, 0.001, of all cache refs
     6.030709612, 97485424, , cache-references, 99981480, 100.00, , 
     6.030709612, 103496686, , ldst_spec, 99981480, 100.00, , 
     6.130863795, 1324, , cache-misses, 99985148, 100.00, 0.001, of all cache refs
     6.130863795, 97327376, , cache-references, 99985148, 100.00, , 
     6.130863795, 103732315, , ldst_spec, 99985148, 100.00, , 
     6.231021794, 1303, , cache-misses, 99988090, 100.00, 0.001, of all cache refs
     6.231021794, 97343219, , cache-references, 99988090, 100.00, , 
     6.231021794, 103580021, , ldst_spec, 99988090, 100.00, , 
     6.331176718, 1224, , cache-misses, 99952757, 100.00, 0.001, of all cache refs
     6.331176718, 97269017, , cache-references, 99952757, 100.00, , 
     6.331176718, 103437480, , ldst_spec, 99952757, 100.00, , 
     6.431330402, 1287, , cache-misses, 99985981, 100.00, 0.001, of all cache refs
     6.431330402, 97172527, , cache-references, 99985981, 100.00, , 
     6.431330402, 103797375, , ldst_spec, 99985981, 100.00, , 
     6.531486678, 1347, , cache-misses, 99976758, 100.00, 0.001, of all cache refs
     6.531486678, 97377672, , cache-references, 99976758, 100.00, , 
     6.531486678, 103356436, , ldst_spec, 99976758, 100.00, , 
     6.631642010, 1247, , cache-misses, 99980334, 100.00, 0.001, of all cache refs
     6.631642010, 97458261, , cache-references, 99980334, 100.00, , 
     6.631642010, 103309343, , ldst_spec, 99980334, 100.00, , 
     6.731795175, 1180, , cache-misses, 99985701, 100.00, 0.001, of all cache refs
     6.731795175, 97444459, , cache-references, 99985701, 100.00, , 
     6.731795175, 103353159, , ldst_spec, 99985701, 100.00, , 
     6.831960988, 1270, , cache-misses, 99978555, 100.00, 0.001, of all cache refs
     6.831960988, 97495406, , cache-references, 99978555, 100.00, , 
     6.831960988, 103229684, , ldst_spec, 99978555, 100.00, , 
     6.932110395, 1274, , cache-misses, 99986091, 100.00, 0.001, of all cache refs
